Dataset,MrSQM-R (secs),MrSQM-S (secs),MrSQM-RS (secs),MrSQM-SR (secs)
Mallat,311.296,304.708,333.761,298.879
Meat,5.722,6.424,6.689,6.153
MedicalImages,11.568,16.55,17.197,13.074
MiddlePhalanxOutlineAgeGroup,5.13,6.148,8.169,5.871
MiddlePhalanxOutlineCorrect,6.69,8.344,9.105,7.867
MiddlePhalanxTW,5.892,6.757,8.283,7.356
MixedShapesRegularTrain,380.714,363.902,382.507,362.92
MixedShapesSmallTrain,304.011,292.319,320.875,289.735
MoteStrain,5.925,6.684,8.43,6.181
NonInvasiveFetalECGThorax1,417.464,471.244,481.85,461.444
NonInvasiveFetalECGThorax2,442.469,446.725,468.324,466.514
OliveOil,4.653,5.373,5.674,4.827
OSULeaf,17.323,19.14,19.477,19.756
PhalangesOutlinesCorrect,22.78,29.771,32.431,30.116
Phoneme,336.828,314.041,368.094,325.033
PigAirwayPressure,141.516,145.745,155.352,147.309
PigArtPressure,153.708,158.047,156.176,154.916
PigCVP,135.132,149.944,138.671,148.712
Plane,3.111,3.837,4.192,3.807
PowerCons,4.36,5.612,5.479,5.479
ProximalPhalanxOutlineAgeGroup,4.725,5.858,6.101,6.137
ProximalPhalanxOutlineCorrect,7.257,8.198,9.313,8.204
ProximalPhalanxTW,6.352,6.613,6.735,7.232
RefrigerationDevices,65.49,68.061,72.896,75.577
Rock,65.62,67.763,70.743,69.69
ScreenType,63.678,66.594,72.971,70.249
SemgHandGenderCh2,261.845,297.867,288.604,295.109
SemgHandMovementCh2,282.781,319.078,290.813,311.927
SemgHandSubjectCh2,276.801,330.02,306.818,299.699
ShapeletSim,10.7,11.365,12.479,11.254
ShapesAll,100.634,113.874,124.234,110.523
SmallKitchenAppliances,61.841,67.049,70.702,63.444
SmoothSubspace,0.349,0.408,0.423,0.34
SonyAIBORobotSurface1,2.661,3.013,3.917,2.703
SonyAIBORobotSurface2,3.602,4.273,5.827,3.749
StarLightCurves,1222.735,1162.964,1192.214,1168.774
Strawberry,18.481,23.56,22.269,24.981
SwedishLeaf,23.488,22.019,25.324,22.065
Symbols,29.925,29.096,33.085,29.53
SyntheticControl,3.042,3.222,4.069,3.868
ToeSegmentation1,7.028,8.311,7.932,7.707
ToeSegmentation2,5.936,5.897,7.769,6.13
Trace,5.619,6.929,6.899,7.557
TwoLeadECG,5.361,5.562,6.291,5.45
TwoPatterns,50.339,59.586,61.216,52.709
UMD,2.684,2.762,3.316,2.715
UWaveGestureLibraryAll,534.601,550.052,554.137,557.337
UWaveGestureLibraryX,125.035,123,137.959,131.874
UWaveGestureLibraryY,123.775,130.768,158.727,135.23
UWaveGestureLibraryZ,113.019,122.066,130.693,119.244
Wafer,63.32,69.709,85.12,78.985
Wine,2.375,2.439,2.795,2.558
WordSynonyms,28.699,30.546,37.432,30.276
Worms,34.952,39.985,38.781,43.714
WormsTwoClass,32.497,40.849,36.203,41.083
Yoga,98.002,98.562,108.067,93.528
